Year,# of Tornadoes,Direct Injury,Indirect Injury,Direct Fatality,Indirect Fatality,Property Damage,Crop Damage,Injuries,Fatalities
2023,"1,455",696,0,79,5,$1208203100,$1916600,696,84
2022,"1,380",315,3,24,1,$698681090,$5540500,318,25
2021,"1,545",878,3,103,4,$232623000,$2238400,881,107
2020,"1,251",733,8,76,1,$2504035500,$27261500,741,77
2019,"1,734",537,9,42,2,$3090497500,$5682000,546,44
2018,"1,254",199,8,10,2,$670278900,$2068350,207,12
2017,"1,652",518,2,35,2,$633772200,$17307500,520,37
2016,"1,081",325,1,18,0,$181176200,$2318100,326,18
2015,"1,320",924,1,36,0,$317881100,$3240750,925,36
2014,"1,072",641,7,47,2,$623451000,$14251000,648,49
2013,"1,053",756,1,55,0,$3642167750,$6597000,757,55
2012,"1,058",822,24,69,2,$1648696500,$1056500,846,71
2011,"2,074",5483,163,553,14,$9184650700,$29595200,5646,567
2010,"1,449",699,8,45,2,$1104452950,$27644600,707,47
2009,"1,273",397,10,21,4,$565864100,$18477500,407,25
2008,"1,954",1714,17,127,5,$1845597840,$20003000,1731,132
2007,"1,242",617,8,81,0,$1348831650,$6765000,625,81
2006,"1,263",986,0,67,0,$702273000,$6687000,986,67
2005,"1,343",537,0,38,0,$421833500,$82104900,537,38
2004,"1,947",396,0,35,0,$536587450,$12131500,396,35
2003,"1,535",1087,0,54,0,$1265650770,$15907500,1087,54
2002,"1,040",968,0,55,0,$801254200,$799010,968,55
2001,"1,351",743,0,40,0,$630086900,$7410500,743,40
2000,"1,169",882,0,41,0,$423670000,$6873100,882,41
1999,"1,520",1842,0,94,0,$1989842450,$8270000,1842,94
1998,"1,529",1874,0,130,0,$1716081900,$22019700,1874,130
1997,"1,180",1033,0,68,0,$730734250,$5752600,1033,68
1996,"1,267",705,0,26,0,$719592550,$12509200,705,26
1995,"1,222",1150,0,34,0,$315013200,$14777800,1150,34
1994,947,806,0,48,0,$696699800,$65229750,806,48
1993,616,778,0,31,0,$768682700,$53128800,778,31
1992,"1,404",1323,0,39,0,$1406688900,,1323,39
1991,"1,208",864,0,39,0,$1152296430,,864,39
1990,"1,264",1177,0,53,0,$1560568070,,1177,53
1989,921,1270,0,50,0,$1760051050,,1270,50
1988,773,688,0,32,0,$1124214650,,688,32
1987,695,1018,0,59,0,$407837950,,1018,59
1986,849,536,0,15,0,$1034912340,,536,15
1985,773,1299,0,94,0,$1608097210,,1299,94
1984,"1,020",2499,0,122,0,$2131171390,,2499,122
1983,995,756,0,34,0,$765855590,,756,34
1982,"1,180",1276,0,64,0,$1429193000,,1276,64
1981,830,798,0,24,0,$765888310,,798,24
1980,972,1157,0,28,0,$2152814350,,1157,28
1979,918,3014,0,84,0,$946241240,,3014,84
1978,875,919,0,53,0,$616068160,,919,53
1977,922,771,0,43,0,$342024230,,771,43
1976,935,1195,0,44,0,$308497190,,1195,44
1975,962,1457,0,60,0,$826723790,,1457,60
1974,"1,120",6824,0,366,0,$1941017780,,6824,366
1973,"1,198",2402,0,89,0,$2063041560,,2402,89
1972,778,1027,0,34,0,$151872570,$10000,1027,34
1971,963,2723,0,159,0,$202120550,,2723,159
1970,700,1355,0,73,0,$625205980,,1355,73
1969,650,1311,0,66,0,$113274230,,1311,66
1968,715,2522,0,131,0,$210079910,,2522,131
1967,966,2144,0,114,0,$577019220,,2144,114
1966,606,2030,0,98,0,$476629360,,2030,98
1965,990,5197,0,301,0,$1762469010,,5197,301
1964,760,1148,0,73,0,$165990820,,1148,73
1963,493,538,0,31,0,$87230580,,538,31
1962,673,551,0,30,0,$67200730,,551,30
1961,772,1087,0,52,0,$179388730,,1087,52
1960,645,737,0,46,0,$118224240,,737,46
1959,630,734,0,58,0,$87453040,,734,58
1958,608,535,0,67,0,$128994610,,535,67
1957,930,1976,0,193,0,$224388890,,1976,193
1956,567,1355,0,83,0,$116912350,,1355,83
1955,632,926,0,129,0,$82660630,,926,129
1954,609,715,0,36,0,$85805320,,715,36
1953,492,5131,0,519,0,$596104700,,5131,519
1952,272,1916,0,231,0,$94302240,,1916,231
1951,269,524,0,34,0,$65505990,,524,34
1950,223,659,0,70,0,$34481650,,659,70
