January-December U.S. Tornadoes (*denotes preliminary data)
Date,"Tornadoes","Fatalities"
195012,201,70
195112,260,34
195212,240,231
195312,422,519
195412,550,36
195512,591,129
195612,504,83
195712,857,193
195812,564,67
195912,602,58
196012,616,46
196112,698,52
196212,656,30
196312,462,31
196412,706,73
196512,900,301
196612,585,98
196712,927,114
196812,661,131
196912,607,66
197012,654,73
197112,888,159
197212,740,34
197312,1104,89
197412,951,366
197512,918,60
197612,837,44
197712,854,43
197812,789,53
197912,859,84
198012,866,28
198112,782,24
198212,1049,64
198312,930,34
198412,912,122
198512,687,94
198612,765,15
198712,658,59
198812,700,32
198912,859,50
199012,1140,53
199112,1133,39
199212,1302,39
199312,1174,109
199412,1085,48
199512,1236,34
199612,1172,26
199712,1149,68
199812,1428,130
199912,1342,94
200012,1073,41
200112,1212,37
200212,934,55
200312,1385,54
200412,1813,35
200512,1262,38
200612,1106,67
200712,1100,81
200812,1692,126
200912,1146,21
201012,1282,45
201112,1691,553
201212,938,70
201312,906,55
201412,886,47
201512,1177,36
201612,976,18
201712,1429,35
201812,1126,10
201912,1517,42
202012,1082,76
202112,1314,103
202212,1143,23
202312,1294*,83
